Event  name	in TeSS	Type of event	Keywords of topic based on previous year event	EDAM topics	Tools/biotools	Organizer	Start date	End date	Selection process	Event  mode	Original course url	TeSS link 	Link to previous year event  material 	Original course url 
Integrative analysis of multi-omics data 	Yes	Course	data management, open science, multiomics, data integration, single cell omics, dimensionality reduction, data heterogeneity	Omics		European Bioinformatics Institute (EBI)	2024-02-27	2024-03-01	Yes	F2F	https://www.embl.org/about/info/course-and-conference-office/events/mmd24-01/	No link in TeSS	No material provided	https://www.embl.org/about/info/course-and-conference-office/events/mmd24-01/
Systems biology: from large datasets to biological insight	Yes	Course	data management, dimensionality reduction, ML,  deep learning, data integration,  single cell omics, multiomics, network inference, logic modelling	Systems biology		European Bioinformatics Institute (EBI)	2024-06-03 00:00:00 UTC	2024-06-07 00:00:00 UTC	Yes	F2F	https://www.ebi.ac.uk/training/events/systems-biology-large-datasets-biological-insight-2/	https://tess.elixir-europe.org/events/systems-biology-from-large-datasets-to-biological-insight-a32ab30e-f479-4d14-9a12-20000161d99f	https://www.ebi.ac.uk/training/materials/systems-biology-large-datasets-biological-insight-materials/course-content/	https://www.ebi.ac.uk/training/events/systems-biology-large-datasets-biological-insight-2/
International World of Microbiome Conference	No	Event		Microbiome							https://microbiome.kenes.com/			
Metagenomics bioinformatics at MGnify	No	Course		Metagenomics, Bioinformatics		European Bioinformatics Institute (EBI)	2024-09-23 00:00:00 UTC	2024-09-27 00:00:00 UTC		online	https://www.ebi.ac.uk/training/events/metagenomics-bioinformatics-mgnify/	https://tess.elixir-europe.org/events/metagenomics-bioinformatics-at-mgnify		
The human microbiome	No	Event		Microbiome							https://www.embl.org/about/info/course-and-conference-office/events/ees23-08/			
